# q(nm) S(q)
0.0034415584415584417   0.19297944602822636
0.0036435786435786433   0.2132533230094203
0.003932178932178932    0.2335052030173983
0.004191919191919192    0.29949612266685405
0.004422799422799423    0.38581957789274834
0.004595959595959596    0.5382146083365592
0.004855699855699855    0.7972949588803246
0.005057720057720058    1.264723307406234
0.005288600288600287    1.9811280634451365
0.005490620490620491    2.514613322540152
0.0058080808080808064   2.3316058377033984
0.005981240981240982    1.792943957578104
0.0061544011544011545   1.335582890460939
0.006356421356421357    1.081466523539694
0.006645021645021645    0.8984663710273464
0.006875901875901876    0.7561312896678748
0.007943722943722944    0.6288274733396685
0.009069264069264069    0.8521187484602119
0.010252525252525253    1.0957205621839765
0.011176046176046176    1.0853233261769846
0.012128427128427127    0.8869106277642858
0.013196248196248199    0.8713954293222582
0.014235209235209233    0.9270257745867498
0.01515873015873016 0.9877667499618719
0.016053391053391052    0.9977020495313174
0.017034632034632034    0.9669649456234817
0.0179004329004329  0.9667449758913168
0.01867965367965368 0.9563844015063524
0.019487734487734488    0.991748202114055
0.02026695526695527 1.01187543260714
0.020901875901875904    1.0167954222832267
0.021652236652236655    1.0318486842877084
0.022373737373737376    1.0215027745515548
0.022835497835497837    1.0163041565480586
0.023470418470418475    1.0161428454111376
0.02398989898989899 1.0210921643848465
0.024451659451659457    1.0209748471943592
0.02485569985569986 1.0361160970917058
0.025202020202020205    1.0512720116378647
0.025606060606060608    1.0511693590961875
