# q(nm) S(q)
0.003658463579797393    0.37101777537052494
0.004119913131590608    0.4231789898696714
0.005019851193792744    0.33227425745909894
0.006843828637031546    0.29331045867660405
0.007904442158130567    0.32137683319036675
0.009073071052242847    0.3874870099074561
0.010050496150267835    0.4870215693845871
0.011190358954158255    0.6245740156684485
0.01213860331561584 0.8145986612106116
0.013221555908580845    1.0664639218806282
0.014142278118853189    1.2707873874947844
0.014467775500102364    1.318251436360856
0.015065488207198774    1.3608239541193814
0.015337288886700478    1.374980239510095
0.015664133868572655    1.3605388847568223
0.016127242005748034    1.33650883326293
0.016399560993181655    1.326855348030818
0.016808557782264023    1.288565349559827
0.016945650230258295    1.240881019822687
0.017545539830668797    1.183452500965348
0.017818584449207118    1.1404653368612825
0.018636681688958226    1.059123385794734
0.019427049454351322    1.001604163049309
0.02029894705743629 0.9488080213335542
0.0209252185315818  0.9294621777744372
0.021605705015406703    0.9196143270678538
0.02228608783764522 0.9145284304858364
0.022857625994179395    0.9094943646970102
0.023428749504368036    0.9235081154064442
0.02394545068170451 0.9375477815124739
0.02446246284380013 0.9373015852448093
0.024816104345752855    0.9418950892914991
0.025169849509291967    0.9417266392136234
0.02555080583925716 0.9415452314374493
